Unnamed: 0,group,name,dice,p_value
0,DU15NET,VIS-P,0.0,0.2387612387612387
1,DU15NET,CG-OP,0.0216294160057678,0.1888111888111888
2,DU15NET,DN-B,0.0269121813031161,0.1898101898101898
3,DU15NET,SMOT-B,0.0,0.2467532467532467
4,DU15NET,AUD,0.0,0.2027972027972027
5,DU15NET,PM-PPr,0.0,0.2767232767232767
6,DU15NET,dATN-B,0.0,0.3266733266733266
7,DU15NET,SMOT-A,0.0,0.3256743256743257
8,DU15NET,LANG,0.0231213872832369,0.1548451548451548
9,DU15NET,FPN-B,0.0115698133052853,0.2007992007992008
10,DU15NET,FPN-A,0.0,0.4645354645354645
11,DU15NET,dATN-A,0.0,0.4815184815184815
12,DU15NET,VIS-C,0.0,0.1618381618381618
13,DU15NET,SAL/PMN,0.1497120921305182,0.0089910089910089
14,DU15NET,DN-A,0.0,0.4465534465534465
15,DU15NET,NONE,0.0,0.2787212787212787
16,TW_TASK_NETS,1RESP,0.006193907217798,0.4415584415584415
17,TW_TASK_NETS,2RESP,0.0,0.7852147852147852
18,TW_TASK_NETS,AAR,0.0080500340578363,0.3716283716283716
19,TW_TASK_NETS,AUD,0.0013556564766488,0.5564435564435565
20,TW_TASK_NETS,DMNA,0.0001419144256013,0.8391608391608392
21,TW_TASK_NETS,DMNB,0.0306924705170849,0.2217782217782218
22,TW_TASK_NETS,FoVF,0.0002845354958031,0.3646353646353646
23,TW_TASK_NETS,INIT,0.0,0.6803196803196803
24,TW_TASK_NETS,LN,0.0068436141681309,0.3886113886113886
25,TW_TASK_NETS,MAIN,0.0472037501362694,0.1188811188811188
26,TW_TASK_NETS,MDN,0.0015386306187493,0.6123876123876124
27,TW_TASK_NETS,RE-EV,0.0456671590349581,0.1528471528471528
28,XY400K17,DefaultA,0.0006820119352088,0.5384615384615384
29,XY400K17,DefaultB,0.0370846337433449,0.1608391608391608
30,XY400K17,DefaultC,0.0,0.2977022977022977
31,XY400K17,Language,0.0,0.3296703296703296
32,XY400K17,ControlA,0.0,0.3526473526473526
33,XY400K17,ControlB,0.0,0.5044955044955045
34,XY400K17,ControlC,0.1125703564727955,0.0239760239760239
35,XY400K17,Sal/VenAttnA,0.0,0.4775224775224775
36,XY400K17,Sal/VenAttnB,0.119560019129603,0.0319680319680319
37,XY400K17,DorsAttnA,0.0,0.4495504495504495
38,XY400K17,DorsAttnB,0.0,0.2107892107892107
39,XY400K17,Auditory,0.0,0.1908091908091908
40,XY400K17,SomatomotorA,0.0,0.3186813186813186
41,XY400K17,SomatomotorB,0.0,0.1928071928071928
42,XY400K17,VisualA,0.0,0.2597402597402597
43,XY400K17,VisualB,0.0,0.2777222777222777
44,XY400K17,VisualC,0.0,0.1098901098901098
45,EG5,SCAN,0.0,0.1008991008991009
46,EG5,Cingulo-Opercular,0.0525997581620314,0.1038961038961039
47,EG5,Effector-hand,0.0,0.1348651348651348
48,EG5,Effector-mouth,0.0,0.1028971028971029
49,EG5,Effector-foot,0.0,0.1078921078921078
50,EG17,Default,0.011611030478955,0.3116883116883117
51,EG17,LatVis,0.0,0.3146853146853147
52,EG17,FrontPar,0.0018168054504163,0.4505494505494505
53,EG17,MedVis,0.0,0.1758241758241758
54,EG17,DorsAttn,0.0,0.4515484515484515
55,EG17,Premotor,0.0,0.2407592407592407
56,EG17,Language,0.0061988045162718,0.1928071928071928
57,EG17,Salience,0.2574074074074074,0.0099900099900099
58,EG17,CingOperc,0.0433061123484286,0.1188811188811188
59,EG17,HandSM,0.0,0.2507492507492507
60,EG17,FaceSM,0.0,0.1528471528471528
61,EG17,Auditory,0.0,0.2217782217782218
62,EG17,AntMTL,0.0,0.1958041958041958
63,EG17,PostMTL,0.0,0.1008991008991009
64,EG17,ParMemory,0.0,0.1318681318681318
65,EG17,Context,0.0,0.2517482517482518
66,EG17,FootSM,0.0,0.1918081918081918
67,XS268_8,MedFront,0.0079336458708979,0.3466533466533466
68,XS268_8,FrontPar,0.0640553992642285,0.0909090909090909
69,XS268_8,Default,0.0010820559062218,0.4125874125874126
70,XS268_8,Motor,0.0,0.7042957042957043
71,XS268_8,VisualA,0.0,0.3256743256743257
72,XS268_8,VisualB,0.0,0.1838161838161838
73,XS268_8,VisAssoc,0.0,0.3926073926073926
74,XS268_8,SalSubcor,0.049072265625,0.1298701298701298
75,MG360J12,Visual1,0.0,0.2037962037962038
76,MG360J12,Visual2,0.0,0.3646353646353646
77,MG360J12,Somatomotor,0.0,0.4295704295704295
78,MG360J12,CingOperc,0.0853139595225739,0.0329670329670329
79,MG360J12,DorsAttn,0.0,0.4365634365634365
80,MG360J12,Language,0.004250797024442,0.2547452547452547
81,MG360J12,FrontPar,0.0089091947458595,0.3246753246753247
82,MG360J12,Auditory,0.0,0.1598401598401598
83,MG360J12,Default,0.0124275062137531,0.3556443556443556
84,MG360J12,PostMulti,0.0,0.1438561438561438
85,MG360J12,VentMulti,0.0,0.1288711288711288
86,MG360J12,OrbitAffective,0.0,0.1058941058941058
87,Tu19,Posterior Default,0.0,0.1998001998001998
88,Tu19,Dorsomedial PFC,0.0,0.2097902097902098
89,Tu19,Dorsal Attention,0.0,0.0819180819180819
90,Tu19,Posterior Frontoparietal,0.0,0.1118881118881118
91,Tu19,Ventromedial PFC,0.0,0.0749250749250749
92,Tu19,Lateral PFC,0.0127599243856332,0.1268731268731268
93,Tu19,Anterior PFC,0.5711892797319933,0.0029970029970029
94,Tu19,Inferior Frontal Gyrus,0.0189165950128976,0.0329670329670329
95,Tu19,Cingulo-Opercular/Action Mode,0.008678881388621,0.0959040959040959
96,Tu19,Language,0.0,0.3776223776223776
97,Tu19,Salience,0.0,0.1968031968031968
98,Tu19,Parietal Memory,0.0,0.0689310689310689
99,Tu19,Premotor/Dorsal Attention II,0.0,0.3506493506493506
100,Tu19,Visual Peripheral,0.0,0.2217782217782218
101,Tu19,Visual Central,0.0,0.2357642357642357
102,Tu19,Parietal-Occipital/Context Association,0.0,0.2307692307692307
103,Tu19,Visual Streams,0.0,0.3526473526473526
104,Tu19,Dorsal SM,0.0,0.4605394605394605
105,Tu19,Ventral SM,0.0,0.1728271728271728
106,Kardan10,Motor,0.0,0.4035964035964036
107,Kardan10,Temporal,0.0,0.4045954045954046
108,Kardan10,pFPN,0.0,0.3506493506493506
109,Kardan10,pDMN,0.0,0.3606393606393606
110,Kardan10,LateralVis,0.0,0.2837162837162837
111,Kardan10,MedialVis,0.0,0.1998001998001998
112,Kardan10,DAN,0.0,0.2987012987012987
113,Kardan10,aFPN,0.135788773019747,0.0409590409590409
114,Kardan10,CO,0.0004761904761904,0.2797202797202797
115,Kardan10,aDMN,0.0009313154831199,0.2897102897102897
